100212315,112143492,142724453,173522044,267327256,300371407,328552066,664289348,751278022,782206730,815171197,844881029,874973754,906105076,935730776,999758121
100550399,112312386,173636817,205036405,237909035,267383830,300443356,692140790,751392174,782219284,815275131,844903016,875203485,906165388,935760534,999582521
100591807,112423075,142760980,173670220,237961680,300532453,328962429,692153247,751429138,782244714,815514172,844914716,875255531,906171801,936026017,999316369
100727377,112490773,142859586,205212809,238040452,267396994,300644035,721032066,751436771,782332463,815548397,844920196,875289961,906188232,936104471,999259518
100733807,112527559,142930038,173834797,205502997,300666950,387511492,664458770,751558714,782390988,815549176,844932010,875406474,906253280,936126202,999213825
101028480,112601772,142965710,173846134,205513464,238138940,449260202,664478041,751571949,782490591,815568074,845183369,875444648,906423230,936206735,998926288
101103800,112697363,142970702,173956077,205523825,300729650,329151103,721311999,751669396,782680949,815608111,845217694,875531165,906620302,936298671,998905857
101354340,112765746,143236992,174092103,205573762,238363168,418279890,692806896,751770273,782782213,815638068,845516509,875824421,906827029,936421560,998700786
101394948,112795742,143258385,174094214,206007810,238651744,387735007,721618425,751913510,782783164,815749964,845711936,875836392,906896753,936484728,998559727
102027118,113951957,144403243,239554427,269455856,302001021,359538359,546847536,752942312,783936660,816658901,847447042,876885500,908319530,937908506,997525458
102046750,113953319,144450570,207293548,239597057,302120405,330771931,636916426,752981717,784029008,816727414,847481887,876929398,908365560,937987568,997512070
102069878,113953474,144486242,207357012,269641990,302201821,330818374,606865117,753105021,784070986,816777610,847584229,877065480,908463773,938010125,997504656
102139334,114049600,175165462,207438982,239666160,269682442,302411515,665369473,753130245,784156206,816842059,847662723,877610796,908534889,938028747,997418298
102377681,114122455,144548114,175166314,239726641,302422705,359948054,636961864,753226999,784189867,816920920,847681408,877868731,908551582,938042308,997389227
102515134,114208415,144715282,207559372,239779706,269806336,302452728,694075872,753328630,784258481,816971726,847727716,878122757,908635617,938080177,997270053
102759426,114315645,144783913,175478712,207611922,302569651,389763567,637123951,753345176,784313005,817072527,847767065,878129845,908691632,938109126,997231142
102839547,114325666,144806271,175567798,240030383,269972929,390145634,637141101,753419876,784380437,817091761,847772278,878256331,908818617,938146818,997200055
102868973,114383456,144809115,175587513,240055448,270004156,331368317,694774701,753633787,784577027,817146586,847781510,878423929,908948207,938294282,997067744
102899738,114642175,144854205,175789813,207896425,270092986,483023369,574286964,753683784,784601409,817234127,847986272,878487659,908951625,938390264,996781755
102939227,114783924,144854927,175807742,207903972,240272521,421129198,665562709,753795323,784640821,817263122,848027059,878500652,909023587,938536246,996418650
103060955,114913144,144943505,175866349,207943178,240302921,390849667,694954606,753899895,784833512,817384546,848212338,878589645,909040220,938546728,996407063
103101505,114932812,145089271,175930207,207987820,270134328,331961534,722947183,753940862,785105186,817594285,848217162,878597296,909046484,938662109,996384522
103222950,115010273,145127706,176169725,208170348,240426677,360487397,722967007,754090879,785219757,817621962,848234152,878733694,909073439,938830962,996305685
104058418,115974699,177205240,241252039,271675088,304415068,333010929,517436372,754938993,786169247,818816063,848759794,879455953,910234111,940391272,995283238
104152170,115976394,177269642,209292273,271787565,304460544,333013189,548566172,754962137,786219314,818903553,848809624,879612405,910521592,940614381,995247089
104295295,116044034,145892948,209641560,241549858,304637155,333066209,609301701,755017206,786372502,818981475,848900405,879693793,910573300,940636712,995209208
104357254,116103168,145903183,177362833,271865390,304646130,333102555,609448046,755194244,786470836,819118596,848978142,879781016,910920228,940639829,995188574
104412846,116187274,145975282,209891949,241786332,271882648,304653320,667275362,755198386,786566481,819235369,849033006,879966288,911137190,940779849,995179899
104779542,116327162,146116559,177715474,209978538,304806125,392434199,609524499,755299837,786672669,819423249,849034808,880113936,911525062,940942809,995093079
104794842,116366864,146174543,177938742,210171832,304839464,333321946,667464466,755336436,786681385,819473545,849060804,880140095,911556232,941053220,994973549
